team,home_city,latitude,longitude,timezone
Brisbane Broncos,Brisbane,-27.4648,153.0095,Australia/Brisbane
Canberra Raiders,Canberra,-35.2496,149.1522,Australia/Sydney
Canterbury-Bankstown Bulldogs,Sydney,-33.9182,151.0883,Australia/Sydney
Cronulla-Sutherland Sharks,Sydney,-34.0411,151.1466,Australia/Sydney
Dolphins,Redcliffe,-27.2434,153.0562,Australia/Brisbane
Gold Coast Titans,Gold Coast,-28.0064,153.3674,Australia/Brisbane
Manly-Warringah Sea Eagles,Sydney,-33.7651,151.2708,Australia/Sydney
Melbourne Storm,Melbourne,-37.8250,144.9840,Australia/Melbourne
New Zealand Warriors,Auckland,-36.9172,174.8118,Pacific/Auckland
Newcastle Knights,Newcastle,-32.9184,151.7264,Australia/Sydney
North Queensland Cowboys,Townsville,-19.2630,146.8154,Australia/Brisbane
Parramatta Eels,Sydney,-33.8072,151.0040,Australia/Sydney
Penrith Panthers,Penrith,-33.7557,150.6845,Australia/Sydney
South Sydney Rabbitohs,Sydney,-33.8471,151.0634,Australia/Sydney
St. George Illawarra Dragons,Wollongong,-33.9703,151.1333,Australia/Sydney
Sydney Roosters,Sydney,-33.8890,151.2253,Australia/Sydney
Wests Tigers,Sydney,-33.8742,151.1451,Australia/Sydney
