venue_name,city,latitude,longitude,timezone
1300SMILES Stadium,Townsville,-19.2590,146.8084,Australia/Brisbane
4 Pines Park,Sydney,-33.7651,151.2708,Australia/Sydney
AAMI Park,Melbourne,-37.8250,144.9840,Australia/Melbourne
ANZ Stadium,Sydney,-33.8471,151.0634,Australia/Sydney
Accor Stadium,Sydney,-33.8471,151.0634,Australia/Sydney
Adelaide Oval,Adelaide,-34.9156,138.5961,Australia/Adelaide
Allegiant Stadium,Las Vegas,36.0909,-115.1833,America/Los_Angeles
Allianz Stadium,Sydney,-33.8890,151.2253,Australia/Sydney
Apex Oval,Dubbo,-32.2532,148.6350,Australia/Sydney
Apollo Projects Stadium,Christchurch,-43.5450,172.6068,Pacific/Auckland
BB Print Stadium,Mackay,-21.1712,149.1841,Australia/Brisbane
BB Print Stadium Mackay,Mackay,-21.1712,149.1841,Australia/Brisbane
Bankwest Stadium,Sydney,-33.8072,151.0040,Australia/Sydney
Barlow Park,Cairns,-16.9354,145.7494,Australia/Brisbane
Belmore Sports Ground,Sydney,-33.9182,151.0883,Australia/Sydney
BlueBet Stadium,Penrith,-33.7557,150.6845,Australia/Sydney
Browne Park,Rockhampton,-23.3753,150.5012,Australia/Brisbane
C.ex Coffs International Stadium,Coffs Harbour,-30.3183,153.1084,Australia/Sydney
Campbelltown Sports Stadium,Sydney,-34.0483,150.8281,Australia/Sydney
Campbelltown Stadium,Sydney,-34.0483,150.8281,Australia/Sydney
Canberra Stadium,Canberra,-35.2496,149.1522,Australia/Sydney
Carrington Park,Bathurst,-33.4122,149.5644,Australia/Sydney
Cbus Super Stadium,Gold Coast,-28.0064,153.3674,Australia/Brisbane
Central Coast Stadium,Gosford,-33.4303,151.3392,Australia/Sydney
Christchurch Stadium,Christchurch,-43.5450,172.6068,Pacific/Auckland
CommBank Stadium,Sydney,-33.8072,151.0040,Australia/Sydney
Eden Park,Auckland,-36.8750,174.7447,Pacific/Auckland
FMG Stadium Waikato,Hamilton,-37.7810,175.2753,Pacific/Auckland
Forsyth Barr Stadium,Dunedin,-45.8693,170.5083,Pacific/Auckland
GIO Stadium,Canberra,-35.2496,149.1522,Australia/Sydney
Geohex Park,Wagga Wagga,-35.1284,147.3432,Australia/Sydney
Glen Willow Oval,Mudgee,-32.6181,149.5782,Australia/Sydney
Go Media Stadium,Auckland,-36.9172,174.8118,Pacific/Auckland
HBF Park,Perth,-31.9445,115.8705,Australia/Perth
Hnry Stadium,Wellington,-41.2730,174.7857,Pacific/Auckland
Industree Group Stadium,Gosford,-33.4303,151.3392,Australia/Sydney
Jubilee Oval,Sydney,-33.9703,151.1333,Australia/Sydney
Jubilee Stadium,Sydney,-33.9703,151.1333,Australia/Sydney
Kayo Stadium,Redcliffe,-27.2434,153.0562,Australia/Brisbane
Lavington Sports Ground,Albury,-36.0413,146.9384,Australia/Sydney
Leichhardt Oval,Sydney,-33.8742,151.1451,Australia/Sydney
Lottoland,Sydney,-33.7651,151.2708,Australia/Sydney
Marley Brown Oval,Gladstone,-23.8654,151.2631,Australia/Brisbane
Marvel Stadium,Melbourne,-37.8165,144.9475,Australia/Melbourne
McDonald Jones Stadium,Newcastle,-32.9184,151.7264,Australia/Sydney
McDonalds Park,Wagga Wagga,-35.1284,147.3432,Australia/Sydney
McLean Park,Napier,-39.4823,176.9135,Pacific/Auckland
Mt Smart Stadium,Auckland,-36.9172,174.8118,Pacific/Auckland
Netstrata Jubilee Stadium,Sydney,-33.9703,151.1333,Australia/Sydney
Ocean Protect Stadium,Sydney,-34.0411,151.1466,Australia/Sydney
One NZ Stadium,Christchurch,-43.5450,172.6068,Pacific/Auckland
Optus Stadium,Perth,-31.9513,115.8891,Australia/Perth
Panthers Stadium,Penrith,-33.7557,150.6845,Australia/Sydney
Patersons Stadium,Perth,-31.9443,115.8302,Australia/Perth
Penrith Park,Penrith,-33.7557,150.6845,Australia/Sydney
PointsBet Stadium,Sydney,-34.0411,151.1466,Australia/Sydney
Polytec Stadium,Gosford,-33.4303,151.3392,Australia/Sydney
Queensland Country Bank Stadium,Townsville,-19.2630,146.8154,Australia/Brisbane
Salter Oval,Bundaberg,-24.8913,152.3411,Australia/Brisbane
Scully Park,Tamworth,-31.1044,150.9294,Australia/Sydney
Sharks Stadium,Sydney,-34.0411,151.1466,Australia/Sydney
Sky Stadium,Wellington,-41.2730,174.7857,Pacific/Auckland
Southern Cross Stadium,Sydney,-34.0411,151.1466,Australia/Sydney
St George Venues Jubilee Stadium,Kogarah,-33.9703,151.1333,Australia/Sydney
Suncorp Stadium,Brisbane,-27.4648,153.0095,Australia/Brisbane
Sunshine Coast Stadium,Sunshine Coast,-26.7353,153.1281,Australia/Brisbane
Sydney Cricket Ground,Sydney,-33.8915,151.2244,Australia/Sydney
Sydney Cricket Ground*,Sydney,-33.8915,151.2244,Australia/Sydney
TIO Stadium,Darwin,-12.3993,130.8872,Australia/Darwin
The Gabba,Brisbane,-27.4858,153.0381,Australia/Brisbane
Toowoomba Sports Ground,Toowoomba,-27.5670,151.9390,Australia/Brisbane
WIN Stadium,Wollongong,-34.4278,150.8931,Australia/Sydney
Yarrow Stadium,New Plymouth,-39.0480,174.0622,Pacific/Auckland
nib Stadium,Perth,-31.9445,115.8705,Australia/Perth
