table,column,compared,matched,match_rate,classification
fixtures,game_number,2617,2617,1.0,derivable
fixtures,game_state_name,2617,2617,1.0,derivable
fixtures,round_id,2617,2617,1.0,derivable
fixtures,round_name,2617,2617,1.0,derivable
fixtures,start_time,2617,2617,1.0,derivable
fixtures,start_time_utc,2617,2617,1.0,derivable
fixtures,team_away,2617,2617,1.0,derivable
fixtures,team_final_score_away,2617,2617,1.0,derivable
fixtures,team_final_score_home,2617,2617,1.0,derivable
fixtures,team_home,2617,2617,1.0,derivable
fixtures,venue_name,2617,2452,0.937,close
ladders,average_losing_margin,6221,5987,0.9624,close
ladders,average_winning_margin,6221,5997,0.964,close
ladders,away_draws,6221,6221,1.0,derivable
ladders,away_losses,6221,6221,1.0,derivable
ladders,away_wins,6221,6221,1.0,derivable
ladders,byes,6221,6221,1.0,derivable
ladders,close_games,6221,5403,0.8685,close
ladders,competition_points,6221,6199,0.9965,derivable
ladders,draws,6221,6221,1.0,derivable
ladders,field_goals_conceded,6221,6181,0.9936,close
ladders,field_goals_for,6221,6203,0.9971,derivable
ladders,goals_conceded,6221,5936,0.9542,close
ladders,goals_for,6221,5936,0.9542,close
ladders,home_draws,6221,6221,1.0,derivable
ladders,home_losses,6221,6221,1.0,derivable
ladders,home_wins,6221,6221,1.0,derivable
ladders,losses,6221,6221,1.0,derivable
ladders,points_against,6221,6199,0.9965,derivable
ladders,points_difference,6221,6199,0.9965,derivable
ladders,points_for,6221,6199,0.9965,derivable
ladders,position,6221,5945,0.9556,close
ladders,tries_conceded,6221,5921,0.9518,close
ladders,tries_for,6221,5921,0.9518,close
ladders,wins,6221,6221,1.0,derivable
performance,all_goals_attempted,5377,287,0.0534,mismatch
performance,all_goals_made,5377,4254,0.7911,close
performance,all_goals_missed,5377,0,0.0,non-derivable
performance,all_run_metres,5377,975,0.1813,mismatch
performance,all_runs,5377,4034,0.7502,close
performance,attacking_kicks,3201,0,0.0,non-derivable
performance,bomb_kicks_defused,5377,0,0.0,non-derivable
performance,bomb_kicks_not_defused,5377,0,0.0,non-derivable
performance,captains_challenge_inconclusive,983,0,0.0,non-derivable
performance,captains_challenge_overturned,2497,0,0.0,non-derivable
performance,captains_challenge_success_percent,2497,0,0.0,non-derivable
performance,captains_challenge_upheld,2481,0,0.0,non-derivable
performance,charge_downs,5073,219,0.0432,mismatch
performance,conversion_attempted,5377,4237,0.788,close
performance,conversion_made,5377,4248,0.79,close
performance,conversion_missed,5377,0,0.0,non-derivable
performance,decoys,5377,286,0.0532,mismatch
performance,dh_run,5377,333,0.0619,mismatch
performance,dh_run_occur,5377,4062,0.7554,close
performance,doubles,4081,0,0.0,non-derivable
performance,draws,5377,1780,0.331,mismatch
performance,drop_goal_attempted,1232,0,0.0,non-derivable
performance,drop_goal_made,1216,0,0.0,non-derivable
performance,drop_goal_missed,1232,0,0.0,non-derivable
performance,dummy_pass,5377,4179,0.7772,close
performance,effective_tackle_percentage,5377,3694,0.687,close
performance,error,5377,4469,0.8311,close
performance,field_goal_attempted,3227,0,0.0,non-derivable
performance,field_goal_conversion_rate,3967,0,0.0,non-derivable
performance,field_goal_made,5377,2719,0.5057,close
performance,field_goal_missed,2440,0,0.0,non-derivable
performance,foul_play_penalties,4401,0,0.0,non-derivable
performance,general_play_penalties,1248,0,0.0,non-derivable
performance,goal_conversion_rate,4225,281,0.0665,mismatch
performance,half_break,4225,281,0.0665,mismatch
performance,handling_errors,5377,4086,0.7599,close
performance,ineffective_tackle,5377,4167,0.775,close
performance,intercept,5377,4380,0.8146,close
performance,kick_bomb,5377,368,0.0684,mismatch
performance,kick_charged_down,3793,0,0.0,non-derivable
performance,kick_chip,5377,287,0.0534,mismatch
performance,kick_crossfield,5377,4300,0.7997,close
performance,kick_defused,5377,4205,0.782,close
performance,kick_forces_dropout,5377,4302,0.8001,close
performance,kick_grubber,5377,4233,0.7872,close
performance,kick_not_defused,5377,0,0.0,non-derivable
performance,kick_pressures,5377,0,0.0,non-derivable
performance,kick_return,5377,291,0.0541,mismatch
performance,kicks,5377,1070,0.199,mismatch
performance,kicks_occur,5377,4190,0.7792,close
performance,lb_assist,5377,4272,0.7945,close
performance,line_break_assists_and_involvements,4129,0,0.0,non-derivable
performance,line_dropout,5377,288,0.0536,mismatch
performance,line_engaged,5377,363,0.0675,mismatch
performance,linebreak,5377,4226,0.7859,close
performance,linebreak_involvement,2497,0,0.0,non-derivable
performance,long_kicks_finding_space,5377,0,0.0,non-derivable
performance,losses,5377,4746,0.8826,close
performance,marker_tackle,3297,0,0.0,non-derivable
performance,markers,3297,0,0.0,non-derivable
performance,minutes_played,5377,68,0.0126,mismatch
performance,offloads,5377,4191,0.7794,close
performance,offside_penalties,5093,1335,0.2621,mismatch
performance,on_report,5377,4074,0.7577,close
performance,one_on_one_lost,5377,4116,0.7655,close
performance,one_on_one_steal,5377,4259,0.7921,close
performance,one_on_one_tackle,5377,0,0.0,non-derivable
performance,one_point_field_goal,5377,1810,0.3366,mismatch
performance,one_point_field_goal_attempted,2347,0,0.0,non-derivable
performance,one_point_field_goal_missed,1672,0,0.0,non-derivable
performance,pass_intercepted,5257,282,0.0536,mismatch
performance,passes_per_run,5377,0,0.0,non-derivable
performance,penalties,5377,4225,0.7858,close
performance,penalty_shot_attempted,5377,0,0.0,non-derivable
performance,penalty_shot_made,5377,4410,0.8202,close
performance,penalty_shot_missed,3222,0,0.0,non-derivable
performance,play_the_ball,5377,1483,0.2758,mismatch
performance,points,5377,4102,0.7629,close
performance,possession,5377,4079,0.7586,close
performance,post_contact_metres,5377,1026,0.1908,mismatch
performance,ptb_in_opposition_20,3201,0,0.0,non-derivable
performance,ptb_penalties,1248,0,0.0,non-derivable
performance,ptbaverage,4613,395,0.0856,mismatch
performance,receipts,5377,4134,0.7688,close
performance,ruck_infringement,5377,2451,0.4558,mismatch
performance,sent_off,5377,735,0.1367,mismatch
performance,set_completion_rate,4685,858,0.1831,mismatch
performance,set_restart_conceded10m_offside,2193,0,0.0,non-derivable
performance,shifts,4129,0,0.0,non-derivable
performance,shifts_left,4129,0,0.0,non-derivable
performance,shifts_right,4129,0,0.0,non-derivable
performance,short_dropout,2849,0,0.0,non-derivable
performance,shortside_left,4113,0,0.0,non-derivable
performance,shortside_right,4129,0,0.0,non-derivable
performance,shortsides,4129,0,0.0,non-derivable
performance,sin_bin,5377,4395,0.8174,close
performance,supports,5377,287,0.0534,mismatch
performance,tackle_break,5377,4159,0.7735,close
performance,tackle_made,5377,4024,0.7484,close
performance,tackle_missed,5377,4159,0.7735,close
performance,territory,4129,0,0.0,non-derivable
performance,trebles,4081,0,0.0,non-derivable
performance,try,5377,4229,0.7865,close
performance,try_assist,5377,4232,0.7871,close
performance,try_assists_and_involvements,4129,0,0.0,non-derivable
performance,try_cause,5377,0,0.0,non-derivable
performance,try_involvement,2897,0,0.0,non-derivable
performance,try_saver_tackle,5361,0,0.0,non-derivable
performance,two_point_field_goal,5377,251,0.0467,mismatch
performance,two_point_field_goal_attempted,1451,0,0.0,non-derivable
performance,two_point_field_goal_missed,1335,0,0.0,non-derivable
performance,wins,5377,4751,0.8836,close
