table,column,compared,matched,match_rate,classification
fixtures,game_number,1411,1411,1.0,derivable
fixtures,game_state_name,1411,1411,1.0,derivable
fixtures,round_id,1411,1411,1.0,derivable
fixtures,round_name,1411,1411,1.0,derivable
fixtures,start_time,1411,1411,1.0,derivable
fixtures,start_time_utc,1411,1411,1.0,derivable
fixtures,team_away,1411,1411,1.0,derivable
fixtures,team_final_score_away,1411,1411,1.0,derivable
fixtures,team_final_score_home,1411,1411,1.0,derivable
fixtures,team_home,1411,1411,1.0,derivable
fixtures,venue_name,1411,1342,0.9511,close
ladders,average_losing_margin,3357,3223,0.9601,close
ladders,average_winning_margin,3357,3228,0.9616,close
ladders,away_draws,3357,3357,1.0,derivable
ladders,away_losses,3357,3357,1.0,derivable
ladders,away_wins,3357,3357,1.0,derivable
ladders,byes,3357,3357,1.0,derivable
ladders,close_games,3357,2831,0.8433,close
ladders,competition_points,3357,3357,1.0,derivable
ladders,draws,3357,3357,1.0,derivable
ladders,field_goals_conceded,3357,3357,1.0,derivable
ladders,field_goals_for,3357,3357,1.0,derivable
ladders,goals_conceded,3357,3188,0.9497,close
ladders,goals_for,3357,3188,0.9497,close
ladders,home_draws,3357,3357,1.0,derivable
ladders,home_losses,3357,3357,1.0,derivable
ladders,home_wins,3357,3357,1.0,derivable
ladders,losses,3357,3357,1.0,derivable
ladders,points_against,3357,3357,1.0,derivable
ladders,points_difference,3357,3357,1.0,derivable
ladders,points_for,3357,3357,1.0,derivable
ladders,position,3357,3322,0.9896,close
ladders,tries_conceded,3357,3173,0.9452,close
ladders,tries_for,3357,3173,0.9452,close
ladders,wins,3357,3357,1.0,derivable
performance,all_goals_attempted,2897,201,0.0694,mismatch
performance,all_goals_made,2897,2884,0.9955,derivable
performance,all_goals_missed,2897,0,0.0,non-derivable
performance,all_run_metres,2897,2743,0.9468,close
performance,all_runs,2897,2753,0.9503,close
performance,attacking_kicks,2897,0,0.0,non-derivable
performance,bomb_kicks_defused,2897,0,0.0,non-derivable
performance,bomb_kicks_not_defused,2897,0,0.0,non-derivable
performance,captains_challenge_inconclusive,983,0,0.0,non-derivable
